Property,DataType,SchemaLocation,Domain,Fields,Arrayed,Replace,PropertyGroups,Description,Table,ValueType,Vocab
10_BC,LaboratoryMeasurement,Lab,,,,,SULFUR,"Bicarbonate-extractable sulfur. Keay, Menage and Dean (1972)",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10
10A_NR,LaboratoryMeasurement,Lab,,,,,SULFUR,Total sulfur - S(%) - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10
10A1,LaboratoryMeasurement,Lab,,,,,SULFUR,Total sulfur - S(%) - X-ray fluorescence,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10A1
10A3,LaboratoryMeasurement,Lab,,,,,SULFUR,,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10
10B,LaboratoryMeasurement,Lab,,,,,SULFUR,Extractable sulfur (mg/kg) - Phosphate extractable sulfur,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10B
10B_NR,LaboratoryMeasurement,Lab,,,,,SULFUR,Extractable sulfur (mg/kg) - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10
10B1,LaboratoryMeasurement,Lab,,,,,SULFUR,Calcium phosphate-extractable sulfur - manual distillation,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10B1
10B2,LaboratoryMeasurement,Lab,,,,,SULFUR,Calcium phosphate-extractable sulfur - automated distillation,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10B2
10B3,LaboratoryMeasurement,Lab,,,,,SULFUR,Calcium phosphate-extractable sulfur - ICPAES,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10B3
10B4,LaboratoryMeasurement,Lab,,,,,SULFUR,Calcium phosphate-extractable sulfur - ion chromatography,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10B4
10C1,LaboratoryMeasurement,Lab,,,,,SULFUR,"Calcium phosphate-extractable sulfur - ICPAES, + charcoal (CPC-S)",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10C1
10D1,LaboratoryMeasurement,Lab,,,,,SULFUR,Potassium chloride - 40 sulfur (KCl-40)-S,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10D1
10Z1,LaboratoryMeasurement,Lab,,,,,SULFUR,,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/10
11A1,LaboratoryMeasurement,Lab,,,,,GYPSUM,Total gypsum,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/11A1
11A2,LaboratoryMeasurement,Lab,,,,,GYPSUM,Total gypsum - MIR reflectance spectroscopy,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/11A2
12_HCL_CU,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Cu(mg/kg) - Total acid(HCl),LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_HCL_FE,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Fe(%) - Total acid(HCl) extractable Fe,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_HCL_FEO,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Fe(%) - Total acid(HCl) extractable Fe2O3,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_HCL_MN,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Mn(mg/kg) - Total acid(HCl),LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_HCL_ZN,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Zn(mg/kg) - Total acid(HCl),LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_HF_CU,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Cu(mg/kg) - HF/HClO4 Digest,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_HF_FE,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Fe(%) - HF/HClO4 Digest,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_HF_MN,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Mn(mg/kg) - HF/HClO4 Digest,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_HF_ZN,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Zn(mg/kg) - HF/HClO4 Digest,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_HF+_FEO,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Fe(%) - HF/HClO4 Digest(Fe2O3),LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_NR_CU,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Cu(mg/kg) - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_NR_FE,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Fe(%) - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_NR_MN,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Mn(mg/kg) - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_NR_ZN,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Zn(mg/kg) - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_XRF_CU,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Cu(mg/kg) - X-Ray Fuoresence,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_XRF_FE,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Fe(%) - X-Ray Fuoresence,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_XRF_FEO,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Fe(%) - X-Ray Fuoresence (Fe2O3),LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_XRF_MN,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Mn(mg/kg) - X-Ray Fuoresence,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12_XRF_ZN,LaboratoryMeasurement,Lab,,,,,Micronutrients,Total element - Zn(mg/kg) - X-Ray Fuoresence,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12A1_AL,LaboratoryMeasurement,Lab,,,,,Micronutrients,"DTPA - extractable copper, zinc, manganese,aluminium and iron",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12A1_CU,LaboratoryMeasurement,Lab,,,,,Micronutrients,"DTPA - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12A1_FE,LaboratoryMeasurement,Lab,,,,,Micronutrients,"DTPA - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12A1_MN,LaboratoryMeasurement,Lab,,,,,Micronutrients,"DTPA - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12A1_ZN,LaboratoryMeasurement,Lab,,,,,Micronutrients,"DTPA - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12B1_CU,LaboratoryMeasurement,Lab,,,,,Micronutrients,Ammonium bicarbonate/EDTA - extractable copper,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12B1_FE,LaboratoryMeasurement,Lab,,,,,Micronutrients,Ammonium bicarbonate/EDTA - extractable Iron,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12B1_MN,LaboratoryMeasurement,Lab,,,,,Micronutrients,Ammonium bicarbonate/EDTA - extractable manganese,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12B1_ZN,LaboratoryMeasurement,Lab,,,,,Micronutrients,Ammonium bicarbonate/EDTA - extractable zinc,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12
12C1,LaboratoryMeasurement,Lab,,,,,Micronutrients,Calcium chloride extractable boron - manual colour,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12C1
12C2,LaboratoryMeasurement,Lab,,,,,Micronutrients,Calcium chloride extractable boron - ICPAES,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/12C2
12C3,LaboratoryMeasurement,Lab,,,,,Micronutrients,"Water extract, ICP",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
12D1_CU,LaboratoryMeasurement,Lab,,,,,Micronutrients,"0.1 M HCl - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
12D1_FE,LaboratoryMeasurement,Lab,,,,,Micronutrients,"0.1 M HCl - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
12D1_MN,LaboratoryMeasurement,Lab,,,,,Micronutrients,"0.1 M HCl - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
12D1_ZN,LaboratoryMeasurement,Lab,,,,,Micronutrients,"0.1 M HCl - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
1.20E+02,LaboratoryMeasurement,Lab,,,,,Micronutrients,Calcium chloride - extractable Mo,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13_C_FE,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Extractable Fe(%) - Method recorded as C,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13_NR_AL,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Extractable Al(%) - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13_NR_FE,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Extractable Fe(%) - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13_NR_MN,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Extractable Mn(%) - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13A1,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Si,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13A1
13A1_AL,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Oxalate-extractable aluminium,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13A1_FE,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Oxalate-extractable iron,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13A1_MN,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Oxalate-extractable manganese,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13A1_SI,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Oxalate-extractable silicon,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13B1_AL,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Pyrophosphate-extractable aluminium,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13B1_FE,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Pyrophosphate-extractable iron,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13C_C_FE,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Extractable Fe (Free) % - Method recorded as C,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13C1_AL,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13C1_FE,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13C1_FE203,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Extractable Fe(Free) % - Citrate/Dithionite Extractable Fe2O3,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13C1_MN,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13C1_SI,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13
13D1,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Acid-extractable soil silicon - automated colour,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13D1
13D2,LaboratoryMeasurement,Lab,,,,,"Extractable iron, aluminium and silicon",Acid-extractable soil silicon - ICPAES,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/13D2
14_NR_S,LaboratoryMeasurement,Lab,,,,,Saturation extracts,,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
14A1,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Saturation extract - filter suction,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14A1
14A2,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Saturation extract - automatic extractor,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14A2
14A3,LaboratoryMeasurement,Lab,,,,,Saturation extracts,"Saturation extract - centrifuge, closed system",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14A3
14A4,LaboratoryMeasurement,Lab,,,,,Saturation extracts,"Saturation extract - centrifuge, Gillman",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14A4
14B1,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Electrical conductivity/SE,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14B1
14C1,LaboratoryMeasurement,Lab,,,,,Saturation extracts,pH/SE,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14C1
14D1_BC,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Bicarbonate/SE and carbonate/SE - potentiometric titration,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
14D1_BiCar,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Bicarbonate/SE - potentiometric titration,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
14D1_C,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Bicarbonate/SE and carbonate/SE - potentiometric titration,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
14D1_Carb,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Carbonate/SE - potentiometric titration,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
14D2_BC,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Bicarbonate/SE and carbonate/SE - indicator method,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
14D2_BiCar,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Bicarbonate/SE  - indicator method,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
14D2_C,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Bicarbonate/SE and carbonate/SE - indicator method,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
14D2_Carb,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Carbonate/SE - indicator method,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
1.40E+02,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Chloride/SE - potentiometric titration,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
1.40E+03,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Chloride/SE - ion chromatography,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
14E2a,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Chloride/SE - ion chromatography (chemical suppression of eluent conductivity),LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14E2a
14E2b,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Chloride/SE - ion chromatography (single column with electronic suppression of eluent conductivity),LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14E2b
1.40E+04,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Chloride/SE - ICPAES,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
14F1,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Sulfate/SE - ICPAES,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14F1
14F2,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Sulfate/SE - turbidimetric,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14F2
14F3,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Sulfate/SE - gravimetric,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14F3
14F4,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Sulfate/SE - automated colour,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14F4
14F5,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Sulfate/SE - ion chromatography,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14F5
14F5a,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Sulfate/SE - ion chromatography (chemical suppression of eluent conductivity),LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14F5a
14F5b,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Sulfate/SE - ion chromatography (single column with electronic suppression of eluent conductivity),LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14F5b
14G1,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Fluoride/SE - specific ion electrode,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14G1
14G2,LaboratoryMeasurement,Lab,,,,,Saturation extracts,Fluoride/SE - ion chromatography,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14G2
14H1_CA,LaboratoryMeasurement,Lab,,,,,Saturation extracts,"Soluble bases/SE (Ca,Mg,K,Na)",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
14H1_K,LaboratoryMeasurement,Lab,,,,,Saturation extracts,"Soluble bases/SE (Ca,Mg,K,Na)",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
14H1_MG,LaboratoryMeasurement,Lab,,,,,Saturation extracts,"Soluble bases/SE (Ca,Mg,K,Na)",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
14H1_NA,LaboratoryMeasurement,Lab,,,,,Saturation extracts,"Soluble bases/SE (Ca,Mg,K,Na)",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/14
15_BASES,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,Sum of Ex. cations + Ex. acidity - Sum of basic exch. cations,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15_HSK_CEC,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,CEC - meq per 100g of soil - HOSK,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15_NR,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,Sum of Ex. cations + Ex. acidity - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15_NR_AL,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,Aluminium Cation - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15_NR_BSa,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15_NR_CA,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,Exch. basic cations (Ca++) - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15_NR_CEC,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,CEC - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15_NR_CMR,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15_NR_H,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,Hydrogen Cation - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15_NR_K,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,Exch. basic cations (K++) - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15_NR_MG,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,Exch. basic cations (Mg++) - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15_NR_MN,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15_NR_NA,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,Exch. basic cations (Na++) - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A1_CA,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A1_Ca_MQ,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,Exchangeable calcium,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A1_CEC,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,Exchangeable bases,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A1_K,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A1_MG,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A1_Mg_MQ,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,Exchangeable magnesium,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A1_MN,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,,LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A1_NA,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A2_CA,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A2_CEC,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A2_K,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A2_MG,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A2_NA,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A3_CA,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A3_CEC,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A3_K,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A3_MG,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15A3_NA,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15B1_CA,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15B1_CEC,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15B1_K,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15B1_MG,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15B1_NA,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15B2_CA,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15B2_CEC,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15B2_K,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15B2_MG,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15B2_NA,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
15B3_CA,LaboratoryMeasurement,Lab,,,,,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://anzsoil.org/def/au/scma/15
